Year	Month	OriginCountry	DestinationCountry	Exports
2021	5	Belarus	C71	734
2021	5	Belarus	C128	608
2021	5	Belarus	C134	604
2021	5	Belarus	C194	858
2021	5	Brazil	C180	0
2021	5	Canada	C158	84
2021	5	Canada	C208	4
2021	5	Canada	C245	384798
2021	5	China	C40	99044
2021	5	China	C55	28030
2021	5	China	C104	126
2021	5	China	C107	14000
2021	5	China	C108	15440
2021	5	China	C140	16000
2021	5	China	C153	80998
2021	5	China	C155	3252
2021	5	China	C179	0
2021	5	China	C202	208
2021	5	China	C222	320
2021	5	China	C234	44000
2021	5	China	C256	16206
2021	5	China with HK ReExports	C40	99044
2021	5	China with HK ReExports	C55	28030
2021	5	China with HK ReExports	C107	14000
2021	5	China with HK ReExports	C108	15440
2021	5	China with HK ReExports	C140	16000
2021	5	China with HK ReExports	C153	80998
2021	5	China with HK ReExports	C155	3252
2021	5	China with HK ReExports	C179	0
2021	5	China with HK ReExports	C202	208
2021	5	China with HK ReExports	C222	320
2021	5	China with HK ReExports	C234	44000
2021	5	China with HK ReExports	C256	16206
2021	5	Czech Republic	C10	2844
2021	5	Czech Republic	C17	6
2021	5	Czech Republic	C80	0
2021	5	Czech Republic	C89	2440
2021	5	Czech Republic	C94	0
2021	5	Czech Republic	C105	4
2021	5	Czech Republic	C112	0
2021	5	Czech Republic	C168	8
2021	5	Czech Republic	C183	2444
2021	5	Czech Republic	C185	0
2021	5	Czech Republic	C193	366
2021	5	Czech Republic	C204	2460
2021	5	Czech Republic	C205	96
2021	5	Czech Republic	C212	0
2021	5	Czech Republic	C219	0
2021	5	Czech Republic	C243	0
2021	5	El Salvador	C97	1000
2021	5	El Salvador	C103	384
2021	5	El Salvador	C161	240
2021	5	Estonia	C79	46
2021	5	France	C3	0
2021	5	France	C6	0
2021	5	France	C10	234
2021	5	France	C18	18558
2021	5	France	C58	206
2021	5	France	C60	20
2021	5	France	C79	14
2021	5	France	C89	1226
2021	5	France	C94	24
2021	5	France	C105	32
2021	5	France	C107	0
2021	5	France	C112	24
2021	5	France	C114	2
2021	5	France	C115	454
2021	5	France	C135	56
2021	5	France	C145	0
2021	5	France	C153	0
2021	5	France	C158	72
2021	5	France	C183	50
2021	5	France	C185	50
2021	5	France	C193	0
2021	5	France	C202	0
2021	5	France	C205	6
2021	5	France	C212	3278
2021	5	France	C219	42
2021	5	France	C220	916
2021	5	France	C232	0
2021	5	France	C243	52
2021	5	France (Customs)	C3	0
2021	5	France (Customs)	C6	0
2021	5	France (Customs)	C10	234
2021	5	France (Customs)	C18	18558
2021	5	France (Customs)	C58	206
2021	5	France (Customs)	C60	20
2021	5	France (Customs)	C79	14
2021	5	France (Customs)	C89	1226
2021	5	France (Customs)	C94	24
2021	5	France (Customs)	C105	32
2021	5	France (Customs)	C107	0
2021	5	France (Customs)	C112	24
2021	5	France (Customs)	C114	2
2021	5	France (Customs)	C115	454
2021	5	France (Customs)	C135	56
2021	5	France (Customs)	C145	0
2021	5	France (Customs)	C153	0
2021	5	France (Customs)	C158	72
2021	5	France (Customs)	C183	50
2021	5	France (Customs)	C185	50
2021	5	France (Customs)	C193	0
2021	5	France (Customs)	C202	0
2021	5	France (Customs)	C205	6
2021	5	France (Customs)	C212	3278
2021	5	France (Customs)	C219	42
2021	5	France (Customs)	C220	916
2021	5	France (Customs)	C232	0
2021	5	France (Customs)	C243	52
2021	5	Germany (Customs)	C9	46
2021	5	Germany (Customs)	C10	4282
2021	5	Germany (Customs)	C12	0
2021	5	Germany (Customs)	C14	14
2021	5	Germany (Customs)	C18	15246
2021	5	Germany (Customs)	C27	12
2021	5	Germany (Customs)	C29	52
2021	5	Germany (Customs)	C40	40
2021	5	Germany (Customs)	C43	12
2021	5	Germany (Customs)	C54	18
2021	5	Germany (Customs)	C58	338
2021	5	Germany (Customs)	C60	1584
2021	5	Germany (Customs)	C66	4
2021	5	Germany (Customs)	C71	2
2021	5	Germany (Customs)	C79	72
2021	5	Germany (Customs)	C80	6548
2021	5	Germany (Customs)	C85	0
2021	5	Germany (Customs)	C87	0
2021	5	Germany (Customs)	C91	2
2021	5	Germany (Customs)	C94	52
2021	5	Germany (Customs)	C97	120
2021	5	Germany (Customs)	C104	2
2021	5	Germany (Customs)	C105	16
2021	5	Germany (Customs)	C107	202
2021	5	Germany (Customs)	C108	0
2021	5	Germany (Customs)	C111	8
2021	5	Germany (Customs)	C112	42
2021	5	Germany (Customs)	C114	78
2021	5	Germany (Customs)	C115	306
2021	5	Germany (Customs)	C118	24
2021	5	Germany (Customs)	C123	560
2021	5	Germany (Customs)	C125	0
2021	5	Germany (Customs)	C128	12
2021	5	Germany (Customs)	C134	32
2021	5	Germany (Customs)	C135	126
2021	5	Germany (Customs)	C140	64
2021	5	Germany (Customs)	C150	4
2021	5	Germany (Customs)	C153	21800
2021	5	Germany (Customs)	C158	34926
2021	5	Germany (Customs)	C160	26
2021	5	Germany (Customs)	C168	2
2021	5	Germany (Customs)	C181	42
2021	5	Germany (Customs)	C183	26
2021	5	Germany (Customs)	C185	20
2021	5	Germany (Customs)	C190	4
2021	5	Germany (Customs)	C193	12
2021	5	Germany (Customs)	C194	206
2021	5	Germany (Customs)	C197	8
2021	5	Germany (Customs)	C199	28
2021	5	Germany (Customs)	C202	50
2021	5	Germany (Customs)	C204	70
2021	5	Germany (Customs)	C205	114
2021	5	Germany (Customs)	C208	48
2021	5	Germany (Customs)	C212	10326
2021	5	Germany (Customs)	C219	212
2021	5	Germany (Customs)	C220	1356
2021	5	Germany (Customs)	C222	84
2021	5	Germany (Customs)	C226	96
2021	5	Germany (Customs)	C234	78
2021	5	Germany (Customs)	C240	10
2021	5	Germany (Customs)	C242	20
2021	5	Germany (Customs)	C243	31964
2021	5	Germany (Customs)	C245	25838
2021	5	Germany (Customs)	C251	0
2021	5	Germany (Customs)	C256	482
2021	5	Greece	C57	0
2021	5	Greece	C89	2
2021	5	Guatemala	C68	0
2021	5	Guatemala	C177	2
2021	5	Iran	C8	158
2021	5	Iran	C12	464
2021	5	Iran	C111	102
2021	5	Ireland (Customs)	C114	360
2021	5	Ireland (Customs)	C222	2
2021	5	Israel	C222	0
2021	5	Japan	C15	2
2021	5	Japan	C40	36804
2021	5	Japan	C107	100732
2021	5	Japan	C108	0
2021	5	Japan	C123	2
2021	5	Japan	C140	20978
2021	5	Japan	C153	37160
2021	5	Japan	C182	211006
2021	5	Japan	C202	0
2021	5	Japan	C222	14600
2021	5	Japan	C226	83566
2021	5	Japan	C245	35642
2021	5	Japan	C256	18052
2021	5	Kenya	C37	0
2021	5	Kenya	C139	18
2021	5	Kenya	C195	50
2021	5	Kenya	C225	332
2021	5	Kenya	C238	526
2021	5	Lithuania	C71	354
2021	5	Lithuania	C79	0
2021	5	Lithuania	C128	438
2021	5	New Zealand	C206	0
2021	5	Peru	C40	139234
2021	5	Peru	C62	7124
2021	5	Peru	C177	3150
2021	5	Philippines	C107	113962
2021	5	Philippines	C197	75602
2021	5	Poland (Customs)	C10	3562
2021	5	Poland (Customs)	C58	5930
2021	5	Poland (Customs)	C89	17554
2021	5	Poland (Customs)	C105	430
2021	5	Poland (Customs)	C112	6
2021	5	Poland (Customs)	C115	278
2021	5	Poland (Customs)	C134	564
2021	5	Poland (Customs)	C204	6840
2021	5	Poland (Customs)	C245	0
2021	5	Portugal	C6	52
2021	5	Portugal	C112	0
2021	5	Portugal	C212	418
2021	5	Qatar	C118	140000
2021	5	Qatar	C202	193568
2021	5	Qatar	C220	134012
2021	5	Qatar	C242	77000
2021	5	Russia	C3	0
2021	5	Russia	C12	1360
2021	5	Russia	C17	1004
2021	5	Russia	C87	1912
2021	5	Russia	C89	0
2021	5	Russia	C120	38850
2021	5	Russia	C126	0
2021	5	Russia	C128	382
2021	5	Russia	C134	17792
2021	5	Russia	C150	132
2021	5	Russia	C151	1594
2021	5	Russia	C240	3356
2021	5	Russia	C253	0
2021	5	Serbia	C25	1226
2021	5	Serbia	C29	448
2021	5	Serbia	C94	304
2021	5	Serbia	C152	40
2021	5	Serbia	C193	776
2021	5	Singapore	C123	6
2021	5	Singapore	C140	1644
2021	5	Singapore	C222	22
2021	5	South Africa	C26	130
2021	5	South Africa	C130	2
2021	5	South Africa	C139	0
2021	5	South Africa	C156	16
2021	5	South Africa	C218	2
2021	5	South Africa	C259	9460
2021	5	South Korea	C9	14000
2021	5	South Korea	C40	85910
2021	5	South Korea	C41	55470
2021	5	South Korea	C104	0
2021	5	South Korea	C107	189838
2021	5	South Korea	C108	16000
2021	5	South Korea	C118	30
2021	5	South Korea	C140	16802
2021	5	South Korea	C182	398
2021	5	South Korea	C202	1232
2021	5	South Korea	C222	0
2021	5	South Korea	C226	55414
2021	5	South Korea	C256	49058
2021	5	Spain	C4	2384
2021	5	Spain	C5	0
2021	5	Spain	C7	37696
2021	5	Spain	C18	274
2021	5	Spain	C29	12
2021	5	Spain	C43	0
2021	5	Spain	C57	0
2021	5	Spain	C58	4
2021	5	Spain	C66	2
2021	5	Spain	C80	8632
2021	5	Spain	C89	0
2021	5	Spain	C94	78
2021	5	Spain	C104	0
2021	5	Spain	C105	4
2021	5	Spain	C112	0
2021	5	Spain	C115	8
2021	5	Spain	C143	0
2021	5	Spain	C147	0
2021	5	Spain	C148	39100
2021	5	Spain	C150	2
2021	5	Spain	C152	16
2021	5	Spain	C153	31484
2021	5	Spain	C158	36
2021	5	Spain	C160	0
2021	5	Spain	C162	150
2021	5	Spain	C181	0
2021	5	Spain	C183	0
2021	5	Spain	C185	32212
2021	5	Spain	C193	0
2021	5	Spain	C194	0
2021	5	Spain	C219	0
2021	5	Spain	C220	2
2021	5	Spain	C232	6298
2021	5	Spain	C234	4
2021	5	Spain (Customs)	C4	2384
2021	5	Spain (Customs)	C5	0
2021	5	Spain (Customs)	C7	37696
2021	5	Spain (Customs)	C18	274
2021	5	Spain (Customs)	C29	12
2021	5	Spain (Customs)	C43	0
2021	5	Spain (Customs)	C57	0
2021	5	Spain (Customs)	C58	4
2021	5	Spain (Customs)	C66	2
2021	5	Spain (Customs)	C80	8632
2021	5	Spain (Customs)	C89	0
2021	5	Spain (Customs)	C94	78
2021	5	Spain (Customs)	C104	0
2021	5	Spain (Customs)	C105	4
2021	5	Spain (Customs)	C112	0
2021	5	Spain (Customs)	C115	8
2021	5	Spain (Customs)	C143	0
2021	5	Spain (Customs)	C148	39100
2021	5	Spain (Customs)	C150	2
2021	5	Spain (Customs)	C152	16
2021	5	Spain (Customs)	C153	31484
2021	5	Spain (Customs)	C158	36
2021	5	Spain (Customs)	C160	0
2021	5	Spain (Customs)	C162	150
2021	5	Spain (Customs)	C181	0
2021	5	Spain (Customs)	C185	32212
2021	5	Spain (Customs)	C193	0
2021	5	Spain (Customs)	C194	0
2021	5	Spain (Customs)	C219	0
2021	5	Spain (Customs)	C220	2
2021	5	Spain (Customs)	C232	6298
2021	5	Spain (Customs)	C234	4
2021	5	Switzerland	C80	2370
2021	5	Switzerland	C89	874
2021	5	Taiwan	C41	5678
2021	5	Taiwan	C112	2314
2021	5	Taiwan	C114	2732
2021	5	Taiwan	C118	268
2021	5	Taiwan	C140	262
2021	5	Taiwan	C158	240
2021	5	Taiwan	C182	192
2021	5	Taiwan	C202	1000
2021	5	Taiwan	C226	50
2021	5	Taiwan	C245	5712
2021	5	Taiwan	C256	190
2021	5	Thailand	C7	0
2021	5	Thailand	C9	4
2021	5	Thailand	C27	0
2021	5	Thailand	C32	1634
2021	5	Thailand	C104	2
2021	5	Thailand	C108	0
2021	5	Thailand	C118	0
2021	5	Thailand	C127	25916
2021	5	Thailand	C182	4
2021	5	Thailand	C256	2
2021	5	Turkey	C3	2
2021	5	United Kingdom HMRC	C80	1178
2021	5	United Kingdom HMRC	C89	0
2021	5	United Kingdom HMRC	C112	42
2021	5	United Kingdom HMRC	C114	58
2021	5	United Kingdom HMRC	C158	10
2021	5	United Kingdom HMRC	C197	0
2021	5	United Kingdom HMRC	C212	6
2021	5	United Kingdom HMRC	C219	6
2021	5	United States	C13	218
2021	5	United States	C34	35040
2021	5	United States	C65	2
2021	5	United States	C68	12
2021	5	United States	C89	22
2021	5	United States	C112	40
2021	5	United States	C114	132
2021	5	United States	C117	42
2021	5	United States	C118	24
2021	5	United States	C123	20
2021	5	United States	C148	20848
2021	5	United States	C158	4036
2021	5	United States	C202	58
2021	5	United States	C222	32
2021	5	United States	C243	104
2021	5	United States (CIF)	C13	218
2021	5	United States (CIF)	C34	35040
2021	5	United States (CIF)	C65	2
2021	5	United States (CIF)	C68	12
2021	5	United States (CIF)	C89	22
2021	5	United States (CIF)	C112	40
2021	5	United States (CIF)	C114	132
2021	5	United States (CIF)	C117	42
2021	5	United States (CIF)	C118	24
2021	5	United States (CIF)	C123	20
2021	5	United States (CIF)	C148	20848
2021	5	United States (CIF)	C158	4036
2021	5	United States (CIF)	C202	58
2021	5	United States (CIF)	C222	32
2021	5	United States (CIF)	C243	104
2021	5	United States (Consumption/Domestic)	C13	218
2021	5	United States (Consumption/Domestic)	C34	34686
2021	5	United States (Consumption/Domestic)	C65	2
2021	5	United States (Consumption/Domestic)	C68	12
2021	5	United States (Consumption/Domestic)	C89	22
2021	5	United States (Consumption/Domestic)	C112	40
2021	5	United States (Consumption/Domestic)	C114	132
2021	5	United States (Consumption/Domestic)	C117	42
2021	5	United States (Consumption/Domestic)	C118	24
2021	5	United States (Consumption/Domestic)	C123	20
2021	5	United States (Consumption/Domestic)	C148	20848
2021	5	United States (Consumption/Domestic)	C158	4036
2021	5	United States (Consumption/Domestic)	C202	58
2021	5	United States (Consumption/Domestic)	C222	32
2021	5	United States (Consumption/Domestic)	C243	104
2021	5	United States (HS 8)	C13	218
2021	5	United States (HS 8)	C34	35040
2021	5	United States (HS 8)	C65	2
2021	5	United States (HS 8)	C68	12
2021	5	United States (HS 8)	C89	22
2021	5	United States (HS 8)	C112	40
2021	5	United States (HS 8)	C114	132
2021	5	United States (HS 8)	C117	42
2021	5	United States (HS 8)	C118	24
2021	5	United States (HS 8)	C123	20
2021	5	United States (HS 8)	C148	20848
2021	5	United States (HS 8)	C158	4036
2021	5	United States (HS 8)	C202	58
2021	5	United States (HS 8)	C222	32
2021	5	United States (HS 8)	C243	104
2021	5	Uruguay	C189	8546
2021	5	Uruguay	C192	4276
2021	5	Vietnam (BOL)	C32	6
2021	5	Vietnam (BOL)	C107	2
2021	4	Vietnam (BOL)	C32	52
2021	4	Uruguay	C192	3960
2021	4	Uruguay	C189	3934
2021	4	Vietnam (BOL)	C127	60
2021	4	United States (HS 8)	C222	18
2021	4	United States (HS 8)	C243	106
2021	4	United States (HS 8)	C202	16
2021	4	United States (HS 8)	C160	6
2021	4	United States (HS 8)	C158	2
2021	4	United States (HS 8)	C148	5088
2021	4	United States (HS 8)	C140	4
2021	4	United States (HS 8)	C123	40
2021	4	United States (HS 8)	C118	72
2021	4	United States (HS 8)	C117	4764
2021	4	United States (HS 8)	C114	80
2021	4	United States (HS 8)	C89	2
2021	4	United States (HS 8)	C34	39576
2021	4	United States (HS 8)	C41	2
2021	4	United States (HS 8)	C60	30
2021	4	United States (HS 8)	C65	2
2021	4	United States (HS 8)	C13	146
2021	4	United States (Consumption/Domestic)	C243	106
2021	4	United States (HS 8)	C9	32
2021	4	United States (Consumption/Domestic)	C222	18
2021	4	United States (Consumption/Domestic)	C202	16
2021	4	United States (Consumption/Domestic)	C160	6
2021	4	United States (Consumption/Domestic)	C158	2
2021	4	United States (Consumption/Domestic)	C148	5068
2021	4	United States (Consumption/Domestic)	C123	40
2021	4	United States (Consumption/Domestic)	C140	4
2021	4	United States (Consumption/Domestic)	C118	72
2021	4	United States (Consumption/Domestic)	C117	4764
2021	4	United States (Consumption/Domestic)	C114	80
2021	4	United States (Consumption/Domestic)	C89	2
2021	4	United States (Consumption/Domestic)	C65	2
2021	4	United States (Consumption/Domestic)	C60	30
2021	4	United States (Consumption/Domestic)	C34	39324
2021	4	United States (Consumption/Domestic)	C13	146
2021	4	United States (CIF)	C243	106
2021	4	United States (Consumption/Domestic)	C9	32
2021	4	United States (CIF)	C202	16
2021	4	United States (CIF)	C222	18
2021	4	United States (CIF)	C160	6
2021	4	United States (CIF)	C148	5088
2021	4	United States (CIF)	C158	2
2021	4	United States (CIF)	C140	4
2021	4	United States (CIF)	C123	40
2021	4	United States (CIF)	C118	72
2021	4	United States (CIF)	C117	4764
2021	4	United States (CIF)	C114	80
2021	4	United States (CIF)	C89	2
2021	4	United States (CIF)	C65	2
2021	4	United States (CIF)	C60	30
2021	4	United States (CIF)	C41	2
2021	4	United States (CIF)	C34	39576
2021	4	United States (CIF)	C13	146
2021	4	United States	C243	106
2021	4	United States (CIF)	C9	32
2021	4	United States	C222	18
2021	4	United States	C202	16
2021	4	United States	C158	2
2021	4	United States	C160	6
2021	4	United States	C148	5088
2021	4	United States	C140	4
2021	4	United States	C123	40
2021	4	United States	C118	72
2021	4	United States	C117	4764
2021	4	United States	C114	80
2021	4	United States	C89	2
2021	4	United States	C65	2
2021	4	United States	C34	39576
2021	4	United States	C41	2
2021	4	United States	C60	30
2021	4	United States	C13	146
2021	4	United States	C9	32
2021	4	United Kingdom HMRC	C212	6
2021	4	United Kingdom HMRC	C158	6
2021	4	United Kingdom HMRC	C183	2
2021	4	United Kingdom HMRC	C114	2
2021	4	United Kingdom HMRC	C112	48
2021	4	United Kingdom HMRC	C89	0
2021	4	United Kingdom HMRC	C80	830
2021	4	Turkey	C89	0
2021	4	Turkey	C233	30
2021	4	Ukraine	C87	8
2021	4	Thailand	C256	0
2021	4	Thailand	C182	16
2021	4	Thailand	C202	0
2021	4	Thailand	C127	18800
2021	4	Thailand	C118	0
2021	4	Thailand	C123	0
2021	4	Thailand	C104	0
2021	4	Thailand	C108	6
2021	4	Thailand	C32	372
2021	4	Thailand	C9	6
2021	4	Thailand	C15	34
2021	4	Thailand	C27	0
2021	4	Thailand	C7	0
2021	4	Taiwan	C256	224
2021	4	Taiwan	C245	5366
2021	4	Taiwan	C226	56
2021	4	Taiwan	C202	1106
2021	4	Taiwan	C182	8218
2021	4	Taiwan	C158	160
2021	4	Taiwan	C140	298
2021	4	Taiwan	C118	232
2021	4	Taiwan	C114	320
2021	4	Taiwan	C112	1140
2021	4	Taiwan	C41	5426
2021	4	Switzerland	C176	0
2021	4	Switzerland	C89	1008
2021	4	Switzerland	C243	0
2021	4	Switzerland	C80	2722
2021	4	Sweden	C79	3210
2021	4	Sweden	C168	10594
2021	4	Sweden	C243	19340
2021	4	Sweden	C245	34740
2021	4	Switzerland	C10	40
2021	4	Spain (Customs)	C222	0
2021	4	Spain (Customs)	C256	2
2021	4	Sweden	C60	6812
2021	4	Spain (Customs)	C220	4
2021	4	Spain (Customs)	C219	0
2021	4	Spain (Customs)	C194	0
2021	4	Spain (Customs)	C202	0
2021	4	Spain (Customs)	C193	0
2021	4	Spain (Customs)	C185	15762
2021	4	Spain (Customs)	C158	36
2021	4	Spain (Customs)	C153	31546
2021	4	Spain (Customs)	C115	12
2021	4	Spain (Customs)	C112	0
2021	4	Spain (Customs)	C105	4
2021	4	Spain (Customs)	C94	58
2021	4	Spain (Customs)	C80	9670
2021	4	Spain (Customs)	C58	2
2021	4	Spain (Customs)	C55	46
2021	4	Spain (Customs)	C43	0
2021	4	Spain (Customs)	C41	2
2021	4	Spain (Customs)	C29	12
2021	4	Spain (Customs)	C18	174
2021	4	Spain (Customs)	C27	39900
2021	4	Spain (Customs)	C5	2
2021	4	Spain (Customs)	C6	0
2021	4	Spain (Customs)	C4	2654
2021	4	Spain	C256	2
2021	4	Spain	C222	0
2021	4	Spain	C220	4
2021	4	Spain	C219	0
2021	4	Spain	C194	0
2021	4	Spain	C197	0
2021	4	Spain	C202	0
2021	4	Spain	C193	0
2021	4	Spain	C185	15762
2021	4	Spain	C158	36
2021	4	Spain	C153	31546
2021	4	Spain	C147	2
2021	4	Spain	C115	12
2021	4	Spain	C135	0
2021	4	Spain	C112	0
2021	4	Spain	C105	4
2021	4	Spain	C107	0
2021	4	Spain	C94	58
2021	4	Spain	C89	0
2021	4	Spain	C80	9670
2021	4	Spain	C58	2
2021	4	Spain	C55	46
2021	4	Spain	C43	0
2021	4	Spain	C38	0
2021	4	Spain	C29	12
2021	4	Spain	C41	2
2021	4	Spain	C27	39900
2021	4	Spain	C18	174
2021	4	Spain	C6	0
2021	4	Spain	C5	2
2021	4	Spain	C4	2654
2021	4	South Korea	C256	31894
2021	4	South Korea	C226	16860
2021	4	South Korea	C245	2
2021	4	South Korea	C222	0
2021	4	South Korea	C202	1582
2021	4	South Korea	C176	0
2021	4	South Korea	C182	16400
2021	4	South Korea	C118	28
2021	4	South Korea	C140	15602
2021	4	South Korea	C108	16000
2021	4	South Korea	C107	114200
2021	4	South Korea	C104	0
2021	4	South Korea	C78	38
2021	4	South Korea	C41	90820
2021	4	South Korea	C40	94800
2021	4	South Africa	C259	4860
2021	4	South Africa	C218	4
2021	4	South Africa	C258	64
2021	4	South Africa	C156	38
2021	4	South Africa	C146	54
2021	4	South Africa	C154	6
2021	4	South Africa	C139	64
2021	4	South Africa	C130	2
2021	4	South Africa	C26	4
2021	4	Slovenia	C199	0
2021	4	Slovenia	C54	8
2021	4	Slovenia	C80	0
2021	4	Slovenia	C115	0
2021	4	Slovenia	C137	0
2021	4	Slovakia	C10	0
2021	4	Slovakia	C29	46
2021	4	Slovakia	C58	44
2021	4	Slovakia	C183	48
2021	4	Slovenia	C10	0
2021	4	Slovenia	C25	12
2021	4	Singapore	C222	10
2021	4	Singapore	C226	0
2021	4	Singapore	C140	3536
2021	4	Singapore	C182	0
2021	4	Serbia	C193	636
2021	4	Serbia	C94	254
2021	4	Singapore	C28	0
2021	4	Singapore	C123	8
2021	4	Serbia	C29	638
2021	4	Serbia	C25	1130
2021	4	Russia	C240	5550
2021	4	Russia	C224	0
2021	4	Russia	C151	1966
2021	4	Russia	C134	20976
2021	4	Russia	C120	39062
2021	4	Russia	C126	0
2021	4	Russia	C87	1940
2021	4	Russia	C58	0
2021	4	Russia	C17	26
2021	4	Russia	C12	1212
2021	4	Russia	C8	2
2021	4	Romania	C105	234
2021	4	Romania	C199	124
2021	4	Qatar	C245	77000
2021	4	Romania	C58	0
2021	4	Qatar	C220	274558
2021	4	Qatar	C202	98550
2021	4	Qatar	C153	76996
2021	4	Portugal	C212	314
2021	4	Portugal	C6	14
2021	4	Poland (Customs)	C204	7064
2021	4	Poland (Customs)	C234	8
2021	4	Poland (Customs)	C134	1044
2021	4	Poland (Customs)	C143	4
2021	4	Poland (Customs)	C153	33136
2021	4	Poland (Customs)	C158	4
2021	4	Poland (Customs)	C115	332
2021	4	Poland (Customs)	C105	1642
2021	4	Poland (Customs)	C89	16224
2021	4	Poland (Customs)	C58	6112
2021	4	Poland (Customs)	C4	1102
2021	4	Poland (Customs)	C10	4212
2021	4	Poland	C134	1044
2021	4	Poland	C143	4
2021	4	Poland	C153	33136
2021	4	Poland	C158	4
2021	4	Poland	C234	8
2021	4	Poland	C204	7064
2021	4	Philippines	C148	41800
2021	4	Philippines	C202	6002
2021	4	Philippines	C226	16004
2021	4	Poland	C4	1102
2021	4	Poland	C10	4212
2021	4	Poland	C58	6400
2021	4	Poland	C89	24474
2021	4	Poland	C105	1802
2021	4	Poland	C115	332
2021	4	Peru	C40	166284
2021	4	New Zealand	C164	0
2021	4	Netherlands	C243	346
2021	4	New Zealand	C254	0
2021	4	Netherlands	C219	0
2021	4	Netherlands	C204	0
2021	4	Netherlands	C205	0
2021	4	Netherlands	C208	2
2021	4	Netherlands	C212	14
2021	4	Netherlands	C89	20006
2021	4	Netherlands	C94	42
2021	4	Netherlands	C100	110
2021	4	Netherlands	C105	0
2021	4	Netherlands	C106	30
2021	4	Netherlands	C112	270
2021	4	Netherlands	C115	0
2021	4	Netherlands	C128	0
2021	4	Netherlands	C134	0
2021	4	Netherlands	C135	0
2021	4	Netherlands	C142	264
2021	4	Netherlands	C143	0
2021	4	Netherlands	C162	318
2021	4	Netherlands	C165	144
2021	4	Netherlands	C169	32
2021	4	Netherlands	C177	52
2021	4	Netherlands	C185	0
2021	4	Netherlands	C193	0
2021	4	Lithuania	C128	346
2021	4	Lithuania	C71	456
2021	4	Lithuania	C89	4
2021	4	Malaysia	C28	104
2021	4	Malaysia	C179	76
2021	4	Malaysia	C182	38
2021	4	Kenya	C238	512
2021	4	Latvia	C134	0
2021	4	Kenya	C225	186
2021	4	Kenya	C195	0
2021	4	Kenya	C139	14
