Year,Quarter,OriginCountry,DestinationCountry,Exports_During_The_Quarter
2021,1Q2021,Belarus,Estonia,
2021,1Q2021,Belarus,Latvia,
2021,1Q2021,Belarus,Lithuania,
2021,1Q2021,Belarus,Russia,
2021,1Q2021,Belarus,Ukraine,
2021,1Q2021,Belgium,Argentina,
2021,1Q2021,Belgium,Armenia,
2021,1Q2021,Belgium,Australia,
2021,1Q2021,Belgium,Austria,
2021,1Q2021,Belgium,Belarus,
2021,1Q2021,Belgium,Brazil,
2021,1Q2021,Belgium,Bulgaria,
2021,1Q2021,Belgium,Burkina Faso,
2021,1Q2021,Belgium,Burundi,
2021,1Q2021,Belgium,Cameroon,
2021,1Q2021,Belgium,Congo,
2021,1Q2021,Belgium,"Congo, Dem. Rep.",
2021,1Q2021,Belgium,Cote d Ivoire,
2021,1Q2021,Belgium,Croatia,
2021,1Q2021,Belgium,Czech Republic,
2021,1Q2021,Belgium,Denmark,
2021,1Q2021,Belgium,Egypt,
2021,1Q2021,Belgium,Estonia,
2021,1Q2021,Belgium,Ethiopia,
2021,1Q2021,Belgium,France,
2021,1Q2021,Belgium,Gabon,
2021,1Q2021,Belgium,Gambia,
2021,1Q2021,Belgium,Germany,
2021,1Q2021,Belgium,Ghana,
2021,1Q2021,Belgium,Greece,
2021,1Q2021,Belgium,Guinea,
2021,1Q2021,Belgium,Hong Kong,
2021,1Q2021,Belgium,Hungary,
2021,1Q2021,Belgium,India,
2021,1Q2021,Belgium,Ireland,
2021,1Q2021,Belgium,Israel,
2021,1Q2021,Belgium,Italy,
2021,1Q2021,Belgium,"Korea, South",
2021,1Q2021,Belgium,Kuwait,
2021,1Q2021,Belgium,Latvia,
2021,1Q2021,Belgium,Liberia,
2021,1Q2021,Belgium,Lithuania,
2021,1Q2021,Belgium,Luxembourg,
2021,1Q2021,Belgium,Macedonia,
2021,1Q2021,Belgium,Malaysia,
2021,1Q2021,Belgium,Mali,
2021,1Q2021,Belgium,Malta,
2021,1Q2021,Belgium,Mauritania,
2021,1Q2021,Belgium,Morocco,
2021,1Q2021,Belgium,Netherlands,
2021,1Q2021,Belgium,New Zealand,
2021,1Q2021,Belgium,Norway,
2021,1Q2021,Belgium,Poland,
2021,1Q2021,Belgium,Portugal,
2021,1Q2021,Belgium,Romania,
2021,1Q2021,Belgium,Russia,
2021,1Q2021,Belgium,Rwanda,
2021,1Q2021,Belgium,Saudi Arabia,
2021,1Q2021,Belgium,Senegal,
2021,1Q2021,Belgium,Singapore,
2021,1Q2021,Belgium,Slovakia,
2021,1Q2021,Belgium,Slovenia,
2021,1Q2021,Belgium,Spain,
2021,1Q2021,Belgium,Sweden,
2021,1Q2021,Belgium,Switzerland,
2021,1Q2021,Belgium,Taiwan,
2021,1Q2021,Belgium,Thailand,
2021,1Q2021,Belgium,Tunisia,
2021,1Q2021,Belgium,United Kingdom,
2021,1Q2021,Belgium,United States,
2021,1Q2021,Belgium,Vietnam,
2021,1Q2021,Brazil,Cyprus,
2021,1Q2021,Brazil,Liberia,
2021,1Q2021,Brazil,Paraguay,
2021,1Q2021,Bulgaria,Albania,
2021,1Q2021,Bulgaria,Cyprus,
2021,1Q2021,Bulgaria,Greece,
2021,1Q2021,Bulgaria,Italy,
2021,1Q2021,Bulgaria,Macedonia,
2021,1Q2021,Bulgaria,Romania,
2021,1Q2021,Bulgaria,Serbia,
2021,1Q2021,Bulgaria,Turkey,
2021,1Q2021,Canada,Australia,
2021,1Q2021,Canada,France,
2021,1Q2021,Canada,Germany,
2021,1Q2021,Canada,Netherlands,
2021,1Q2021,Canada,South Africa,
2021,1Q2021,Canada,United Arab Emirates,
2021,1Q2021,Canada,United States,
2021,1Q2021,Chile,Bolivia,
2021,1Q2021,Chile,Brazil,
2021,1Q2021,China,Angola,
2021,1Q2021,China,Cambodia,
2021,1Q2021,China,Chad,
2021,1Q2021,China,Chile,
2021,1Q2021,China,"Congo, Dem. Rep.",
2021,1Q2021,China,Fiji,
2021,1Q2021,China,Hong Kong,
2021,1Q2021,China,India,
2021,1Q2021,China,Indonesia,
2021,1Q2021,China,Mexico,
2021,1Q2021,China,Morocco,
2021,1Q2021,China,Myanmar,
2021,1Q2021,China,Papua New Guinea,
2021,1Q2021,China,Saudi Arabia,
2021,1Q2021,China,Singapore,
2021,1Q2021,China,Sri Lanka,
2021,1Q2021,China,Taiwan,
2021,1Q2021,China,Thailand,
2021,1Q2021,China,Togo,
2021,1Q2021,China,Turkey,
2021,1Q2021,China,Vietnam,
2021,1Q2021,China with HK ReExports,Angola,
2021,1Q2021,China with HK ReExports,Cambodia,
2021,1Q2021,China with HK ReExports,Chad,
2021,1Q2021,China with HK ReExports,Chile,
2021,1Q2021,China with HK ReExports,"Congo, Dem. Rep.",
2021,1Q2021,China with HK ReExports,Fiji,
2021,1Q2021,China with HK ReExports,India,
2021,1Q2021,China with HK ReExports,Indonesia,
2021,1Q2021,China with HK ReExports,Mexico,
2021,1Q2021,China with HK ReExports,Morocco,
2021,1Q2021,China with HK ReExports,Myanmar,
2021,1Q2021,China with HK ReExports,Papua New Guinea,
2021,1Q2021,China with HK ReExports,Saudi Arabia,
2021,1Q2021,China with HK ReExports,Singapore,
2021,1Q2021,China with HK ReExports,Sri Lanka,
2021,1Q2021,China with HK ReExports,Taiwan,
2021,1Q2021,China with HK ReExports,Thailand,
2021,1Q2021,China with HK ReExports,Togo,
2021,1Q2021,China with HK ReExports,Turkey,
2021,1Q2021,China with HK ReExports,Vietnam,
2021,1Q2021,Colombia,Costa Rica,
2021,1Q2021,Colombia,Dominican Republic,
2021,1Q2021,Colombia,Ecuador,
2021,1Q2021,Colombia,Panama,
2021,1Q2021,Colombia,Puerto Rico (U.S.),
2021,1Q2021,Colombia,Venezuela,
2021,1Q2021,Cote d'Ivoire,Cameroon,
2021,1Q2021,Cote d'Ivoire,Mali,
