Production date,Origin and Destination country,Project Name,Amount
2008年02月,Belarus:Estonia,<Actual> May (QTD) (FY2020),"10 350,00"
2008年02月,Belarus:Latvia,<Actual> June (QTD) (FY2020),"4 350,00"
2008年02月,Belarus:Lithuania,<Actual> July (QTD) (FY2020),"1 702,40"
2008年02月,Belarus:Russia,<Actual> August (QTD) (FY2020),"1 702,40"
2007年12月,Brazil:Paraguay,<Actual> September (QTD) (FY2020),"7 770,00"
2008年02月,Canada:Netherlands,<Actual> October (QTD) (FY2020),"7 770,00"
2007年09月,Canada:South Africa,<Actual> November (QTD) (FY2020),"479 820,00"
2008年02月,Canada:United States,<Actual> December (QTD) (FY2020),"279 168,00"
2009年06月,China:Chile,<Actual> January (QTD) (FY2020),"33 984,00"
2009年06月,China:Cuba,<Actual> February (QTD) (FY2020),"33 739,20"
2009年05月,China:Hong Kong,<Actual> March (QTD) (FY2020),"33 739,20"
2009年05月,China:India,<Actual> April (QTD) (FY2021),"25,89"
2009年05月,China:Indonesia,<Actual> May (QTD) (FY2021),477
2009年05月,China:Malaysia,<Actual> June (QTD) (FY2021),"103 594,52"
2009年05月,China:Morocco,<Actual> July (QTD) (FY2021),"177,2"
2009年05月,China:Myanmar,<Actual> August (QTD) (FY2021),"13 759,20"
2009年05月,China:Papua New Guinea,<Actual> September (QTD) (FY2021),"38 400,00"
2008年03月,China:Singapore,<Actual> October (QTD) (FY2021),"38 400,00"
2008年03月,China:Taiwan,<Actual> November (QTD) (FY2021),"81,15"
2008年03月,China:Turkey,<Actual> December (QTD) (FY2021),"63 525,00"
2008年03月,China:Vietnam,<Actual> January (QTD) (FY2021),"34 916,70"
2008年03月,China with HK ReExports:Chile,<Actual>February (QTD) (FY2021),"74 025,00"
2008年03月,China with HK ReExports:Cuba,<Submitted Budget(Dec)> FY2019_Prospect (Annual),"62 381,12"
2008年03月,China with HK ReExports:India,<Submitted Budget(Dec)> FY2020_Prospect (Annual),"153,6"
2014年11月,China with HK ReExports:Indonesia,<Submitted Budget(Dec)> FY2020_Submitted Budget (Annual),"153,6"
2008年01月,China with HK ReExports:Malaysia,<Submitted Budget(Dec)> FY2021_Submitted Budget (Annual),"1 882,65"
2007年12月,China with HK ReExports:Morocco,<Submitted Budget(Dec)> FY2022_Plan (Annual),"18 300,00"
2007年12月,China with HK ReExports:Myanmar,<Submitted Budget(Dec)> FY2023_Plan (Annual),"96 960,00"
2008年07月,China with HK ReExports:Papua New Guinea,<Final Budget(Dec)> FY2020_Final Budget (Annual),"29 937,60"
2008年07月,China with HK ReExports:Singapore,<Final Budget(Dec)> FY2021_Final Budget (Annual),"7 022,40"
2010年04月,China with HK ReExports:Taiwan,<Final Budget(Dec)> FY2022_Plan (Annual),"29 937,60"
2010年04月,China with HK ReExports:Turkey,<Final Budget(2020 Dec)> FY2023_Plan (Annual),"7 022,40"
2010年04月,China with HK ReExports:Vietnam,<Final Budget(Apr)> FY2020_Final Budget (Annual),"29 937,60"
2008年06月,Czech Republic:Austria,<Final Budget(Apr)> FY2021_Final Budget (Annual),"3 292,80"
2010年07月,Czech Republic:Belarus,<Final Budget(Apr)> FY2022_Plan (Annual),"33 025,92"
2008年09月,Czech Republic:France,<Final Budget(Apr)> FY2023_Plan (Annual),"1 514,88"
2009年01月,Czech Republic:Germany,<Actual> May (QTD) (FY2020),0
,Czech Republic:Greece,<Actual> June (QTD) (FY2020),"315,6"
,Czech Republic:Hungary,<Actual> July (QTD) (FY2020),"26,8"
2008年09月,Czech Republic:Ireland,<Actual> August (QTD) (FY2020),"87 296,00"
,Czech Republic:Norway,<Actual> September (QTD) (FY2020),"2 484,00"
,Czech Republic:Poland,<Actual> October (QTD) (FY2020),154
2008年09月,Czech Republic:Portugal,<Actual> November (QTD) (FY2020),"37 018,80"
,Czech Republic:Romania,<Actual> December (QTD) (FY2020),300
2008年09月,Czech Republic:Slovakia,<Actual> January (QTD) (FY2020),"37 018,80"
