Year,Month,OriginCountry,DestinationCountry,Exports
2021,5,Belarus,Estonia,734
2021,5,Belarus,Latvia,608
2021,5,Belarus,Lithuania,604
2021,5,Belarus,Russia,858
2021,5,Brazil,Paraguay,0
2021,5,Canada,Netherlands,84
2021,5,Canada,South Africa,4
2021,5,Canada,United States,384798
2021,5,China,Chile,99044
2021,5,China,Cuba,28030
2021,5,China,Hong Kong,126
2021,5,China,India,14000
2021,5,China,Indonesia,15440
2021,5,China,Malaysia,16000
2021,5,China,Morocco,80998
2021,5,China,Myanmar,3252
2021,5,China,Papua New Guinea,0
2021,5,China,Singapore,208
2021,5,China,Taiwan,320
2021,5,China,Turkey,44000
2021,5,China,Vietnam,16206
2021,5,China with HK ReExports,Chile,99044
2021,5,China with HK ReExports,Cuba,28030
2021,5,China with HK ReExports,India,14000
2021,5,China with HK ReExports,Indonesia,15440
2021,5,China with HK ReExports,Malaysia,16000
2021,5,China with HK ReExports,Morocco,80998
2021,5,China with HK ReExports,Myanmar,3252
2021,5,China with HK ReExports,Papua New Guinea,0
2021,5,China with HK ReExports,Singapore,208
2021,5,China with HK ReExports,Taiwan,320
2021,5,China with HK ReExports,Turkey,44000
2021,5,China with HK ReExports,Vietnam,16206
2021,5,Czech Republic,Austria,2844
2021,5,Czech Republic,Belarus,6
2021,5,Czech Republic,France,0
2021,5,Czech Republic,Germany,2440
2021,5,Czech Republic,Greece,0
2021,5,Czech Republic,Hungary,4
2021,5,Czech Republic,Ireland,0
2021,5,Czech Republic,Norway,8
2021,5,Czech Republic,Poland,2444
2021,5,Czech Republic,Portugal,0
2021,5,Czech Republic,Romania,366
2021,5,Czech Republic,Slovakia,2460
2021,5,Czech Republic,Slovenia,96
2021,5,Czech Republic,Spain,0
2021,5,Czech Republic,Sweden,0
2021,5,Czech Republic,United Kingdom,0
2021,5,El Salvador,Guatemala,1000
2021,5,El Salvador,Honduras,384
2021,5,El Salvador,Nicaragua,240
2021,5,Estonia,Finland,46
2021,5,France,Albania,0
2021,5,France,Angola,0
2021,5,France,Austria,234
2021,5,France,Belgium,18558
2021,5,France,Czech Republic,206
2021,5,France,Denmark,20
2021,5,France,Finland,14
2021,5,France,Germany,1226
2021,5,France,Greece,24
2021,5,France,Hungary,32
2021,5,France,India,0
2021,5,France,Ireland,24
2021,5,France,Israel,2
2021,5,France,Italy,454
2021,5,France,Luxembourg,56
2021,5,France,Mauritania,0
2021,5,France,Morocco,0
2021,5,France,Netherlands,72
2021,5,France,Poland,50
2021,5,France,Portugal,50
2021,5,France,Romania,0
2021,5,France,Singapore,0
2021,5,France,Slovenia,6
2021,5,France,Spain,3278
2021,5,France,Sweden,42
2021,5,France,Switzerland,916
2021,5,France,Tunisia,0
2021,5,France,United Kingdom,52
2021,5,France (Customs),Albania,0
2021,5,France (Customs),Angola,0
2021,5,France (Customs),Austria,234
2021,5,France (Customs),Belgium,18558
2021,5,France (Customs),Czech Republic,206
2021,5,France (Customs),Denmark,20
2021,5,France (Customs),Finland,14
2021,5,France (Customs),Germany,1226
2021,5,France (Customs),Greece,24
2021,5,France (Customs),Hungary,32
2021,5,France (Customs),India,0
2021,5,France (Customs),Ireland,24
2021,5,France (Customs),Israel,2
2021,5,France (Customs),Italy,454
2021,5,France (Customs),Luxembourg,56
2021,5,France (Customs),Mauritania,0
2021,5,France (Customs),Morocco,0
2021,5,France (Customs),Netherlands,72
2021,5,France (Customs),Poland,50
2021,5,France (Customs),Portugal,50
2021,5,France (Customs),Romania,0
2021,5,France (Customs),Singapore,0
2021,5,France (Customs),Slovenia,6
2021,5,France (Customs),Spain,3278
2021,5,France (Customs),Sweden,42
2021,5,France (Customs),Switzerland,916
2021,5,France (Customs),Tunisia,0
2021,5,France (Customs),United Kingdom,52
2021,5,Germany (Customs),Australia,46
2021,5,Germany (Customs),Austria,4282
2021,5,Germany (Customs),Azerbaijan,0
2021,5,Germany (Customs),Bahrain,14
2021,5,Germany (Customs),Belgium,15246
2021,5,Germany (Customs),Brazil,12
2021,5,Germany (Customs),Bulgaria,52
2021,5,Germany (Customs),Chile,40
2021,5,Germany (Customs),Colombia,12
2021,5,Germany (Customs),Croatia,18
2021,5,Germany (Customs),Czech Republic,338
2021,5,Germany (Customs),Denmark,1584
2021,5,Germany (Customs),Egypt,4
2021,5,Germany (Customs),Estonia,2
2021,5,Germany (Customs),Finland,72
2021,5,Germany (Customs),France,6548
2021,5,Germany (Customs),Gabon,0
2021,5,Germany (Customs),Georgia,0
2021,5,Germany (Customs),Ghana,2
2021,5,Germany (Customs),Greece,52
2021,5,Germany (Customs),Guatemala,120
2021,5,Germany (Customs),Hong Kong,2
2021,5,Germany (Customs),Hungary,16
2021,5,Germany (Customs),India,202
2021,5,Germany (Customs),Indonesia,0
2021,5,Germany (Customs),Iraq,8
2021,5,Germany (Customs),Ireland,42
2021,5,Germany (Customs),Israel,78
2021,5,Germany (Customs),Italy,306
2021,5,Germany (Customs),Japan,24
2021,5,Germany (Customs),"Korea, South",560
2021,5,Germany (Customs),Kuwait,0
2021,5,Germany (Customs),Latvia,12
2021,5,Germany (Customs),Lithuania,32
2021,5,Germany (Customs),Luxembourg,126
2021,5,Germany (Customs),Malaysia,64
2021,5,Germany (Customs),Moldova,4
2021,5,Germany (Customs),Morocco,21800
2021,5,Germany (Customs),Netherlands,34926
2021,5,Germany (Customs),New Zealand,26
2021,5,Germany (Customs),Norway,2
2021,5,Germany (Customs),Peru,42
2021,5,Germany (Customs),Poland,26
2021,5,Germany (Customs),Portugal,20
2021,5,Germany (Customs),Qatar,4
2021,5,Germany (Customs),Romania,12
