year,month,Origincountry,Destinationcountry,BudgetAmount,FiscalYearPeriod
2008,02,Belarus,Estonia,10350.0,May 2020
2008,02,Belarus,Latvia,4350.0,June 2020
2008,02,Belarus,Lithuania,1702.4,July 2020
2008,02,Belarus,Russia,1702.4,August 2020
2007,12,Brazil,Paraguay,7770.0,September 2020
2008,02,Canada,Netherlands,7770.0,October 2020
2007,09,Canada,South Africa,479820.0,November 2020
2008,02,Canada,United States,279168.0,December 2020
2009,06,China,Chile,33984.0,January 2020
2009,06,China,Cuba,33739.2,February 2020
2009,05,China,Hong Kong,33739.2,April 2020
2009,05,China,India,25.89,January 2021
2009,05,China,Indonesia,477.0,May 2021
2009,05,China,Malaysia,103594.52,June 2021
2009,05,China,Morocco,177.2,July 2021
2009,05,China,Myanmar,13759.2,August 2021
2009,05,China,Papua New Guinea,38400.0,September 2021
2008,03,China,Singapore,38400.0,October 2021
2008,03,China,Taiwan,81.15,November 2021
2008,03,China,Turkey,63525.0,December 2021
2008,03,China,Vietnam,34916.7,January 2021
2008,03,China with HK ReExports,Chile,74025.0,February 2021
2008,03,China with HK ReExports,Cuba,62381.12,December 2019
2008,03,China with HK ReExports,India,153.6,December 2020
2014,11,China with HK ReExports,Indonesia,153.6,December 2020
2008,01,China with HK ReExports,Malaysia,1882.65,December 2021
2007,12,China with HK ReExports,Morocco,18300.0,December 2022
2007,12,China with HK ReExports,Myanmar,96960.0,December 2023
2008,07,China with HK ReExports,Papua New Guinea,29937.6,December 2020
2008,07,China with HK ReExports,Singapore,7022.4,December 2021
2010,04,China with HK ReExports,Taiwan,29937.6,December 2022
2010,04,China with HK ReExports,Turkey,7022.4,December 2023
2010,04,China with HK ReExports,Vietnam,29937.6,January 2020
2008,06,Czech Republic,Austria,3292.8,January 2021
2010,07,Czech Republic,Belarus,33025.92,January 2022
2008,09,Czech Republic,France,1514.88,January 2023
2009,01,Czech Republic,Germany,0.0,May 2020
,,Czech Republic,Greece,315.6,June 2020
,,Czech Republic,Hungary,26.8,July 2020
2008,09,Czech Republic,Ireland,87296.0,August 2020
,,Czech Republic,Norway,2484.0,September 2020
,,Czech Republic,Poland,154.0,October 2020
2008,09,Czech Republic,Portugal,37018.8,November 2020
,,Czech Republic,Romania,300.0,December 2020
2008,09,Czech Republic,Slovakia,37018.8,January 2020
